Model,MSE_y1,RMSE_y1,R2_y1,Adj_R2_y1,MSE_y2,RMSE_y2,R2_y2,Adj_R2_y2
Testcase testCase1,0.291,0.54,-0.059,118.583,545380.883,738.499,-0.167,118.583
Testcase testCase1_noisy,1.118,1.057,-3.066,452.342,406670.225,637.707,-0.09,452.342
Testcase testCase1_noisy50,1.258,1.122,-3.577,508.996,401086.828,633.314,-0.15,508.996
Testcase testCase2,0.858,0.926,0.371,70.816,445282.433,667.295,0.061,70.816
Testcase testCase2_noisy,0.405,0.636,0.703,33.942,397891.387,630.786,-0.035,33.942
Testcase testCase2_noisy50,0.559,0.748,0.59,46.505,355532.377,596.265,0.033,46.505
Testcase testCase3,0.106,0.326,0.971,4.246,391815.774,625.952,0.288,4.246
Testcase testCase3_noisy,0.062,0.25,0.983,2.901,386421.947,621.628,0.202,2.901
Testcase testCase3_noisy50,0.142,0.377,0.961,5.345,445712.693,667.617,-0.118,5.345
Testcase testCase4,0.264,0.513,0.939,7.778,686394.249,828.489,-0.142,7.778
Testcase testCase4_noisy,0.18,0.425,0.958,5.639,869632.13,932.541,-0.425,5.639
Testcase testCase4_noisy50,0.542,0.736,0.874,14.951,1117489.043,1057.114,-0.526,14.951
Testcase testCase5,0.031,0.176,0.993,1.758,899541.597,948.442,-0.222,1.758
Testcase testCase5_noisy,0.167,0.408,0.963,5.099,797057.364,892.781,-0.258,5.099
Testcase testCase5_noisy50,0.487,0.698,0.892,12.971,679613.198,824.387,-0.123,12.971
Testcase testCase6,0.065,0.255,0.982,2.947,706937.188,840.796,-0.039,2.947
Testcase testCase6_noisy,0.266,0.516,0.928,8.97,598093.63,773.365,-0.147,8.97
Testcase testCase6_noisy50,1.003,1.001,0.73,31,480725.217,693.344,0.006,31
Testcase testCase7,0.052,0.229,0.982,2.969,995380.57,997.688,-0.454,2.969
Testcase testCase7_noisy,0.467,0.684,0.841,18.598,449133.011,670.174,-0.505,18.598
Testcase testCase7_noisy50,1.557,1.248,0.472,59.626,111365.603,333.715,0.414,59.626
